Cash Positions Details,,,,,,,,Account Details,,,,,,Future Positions List,,,,,
Client ID,Accounting Balance,Accounting Balance,Value Date,Balance at Value Date,Balance at Value Date,Exchange Values Rate,Last Booking Date,IBAN,KBL Cash Account Number,Client Name,Account Title,Account Type,Account currency,Future Date D+1,Future Position D+1,Future Date D+2,Future Position D+2,Future Date D+3,Future Position D+3
,,Exchange Value (EUR),,,Exchange Value (EUR),,,,,,,,,,,,,,
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",11/04/2025,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",06/09/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",18/02/2025,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,1093880972338642",10/02/2025,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,HKD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",11/10/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",14/06/2021,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,Dépôts/Emprunts à terme,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,1093880972338642",15/08/2023,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,75,HKD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",15/07/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",02/09/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,IV,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",02/09/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,1093880972338642",02/09/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,IV,HKD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",02/09/2024,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,IV,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-9B9A33CC,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",13/09/2022,ID-06142489,ID-9B9A33CC,,ID-A5EFB10C,CC,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-9B9A33CC,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",06/02/2025,ID-06142489,ID-9B9A33CC,,ID-A5EFB10C,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-9B9A33CC,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",06/02/2023,ID-06142489,ID-9B9A33CC,,ID-A5EFB10C,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-9B9A33CC,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",25/02/2025,ID-06142489,ID-9B9A33CC,,ID-A5EFB10C,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-568CF6D3,"0,00","0,00",31/12/2025,"0,00","0,00","0,6211124723278957",19/05/2023,ID-C94A93E0,ID-568CF6D3,,ID-1D701C47,CC,CAD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
